GeoName,Year,Tax Type,TaxType,Amount 
South Carolina,2013,11212,Sales and Gross Receipts Taxes,4476982
South Carolina,2013,112123,License Taxes,439843
South Carolina,2013,112124,Income Taxes,3744187
South Carolina,2013,112125,Other Taxes,51744
South Dakota,2013,1121,Total Taxes,1533573
South Dakota,2013,11211,Property Taxes,X
South Dakota,2013,11212,Sales and Gross Receipts Taxes,1228262
South Dakota,2013,112123,License Taxes,257130
South Dakota,2013,112124,Income Taxes,37172
South Dakota,2013,112125,Other Taxes,11009
Tennessee,2013,1121,Total Taxes,11727736
Tennessee,2013,11211,Property Taxes,X
Tennessee,2013,11212,Sales and Gross Receipts Taxes,8490111
Tennessee,2013,112123,License Taxes,1420083
Tennessee,2013,112124,Income Taxes,1519015
Tennessee,2013,112125,Other Taxes,298527
Texas,2013,1121,Total Taxes,51801010
Texas,2013,11211,Property Taxes,X
Texas,2013,11212,Sales and Gross Receipts Taxes,43653956
Texas,2013,112123,License Taxes,3347303
Texas,2013,112124,Income Taxes,0
Texas,2013,112125,Other Taxes,4799751
Utah,2013,1121,Total Taxes,6294473
Utah,2013,11211,Property Taxes,X
Utah,2013,11212,Sales and Gross Receipts Taxes,2739916
Utah,2013,112123,License Taxes,259735
Utah,2013,112124,Income Taxes,3182772
Utah,2013,112125,Other Taxes,112050
Vermont,2013,1121,Total Taxes,2850183
Vermont,2013,11211,Property Taxes,943408
Vermont,2013,11212,Sales and Gross Receipts Taxes,983226
Vermont,2013,112123,License Taxes,106509
Vermont,2013,112124,Income Taxes,768662
Vermont,2013,112125,Other Taxes,48378
Virginia,2013,1121,Total Taxes,19186584
Virginia,2013,11211,Property Taxes,33188
Virginia,2013,11212,Sales and Gross Receipts Taxes,6192666
Virginia,2013,112123,License Taxes,806572
Virginia,2013,112124,Income Taxes,11672861
Virginia,2013,112125,Other Taxes,481297
Washington,2013,1121,Total Taxes,18787187
Washington,2013,11211,Property Taxes,1939883
Washington,2013,11212,Sales and Gross Receipts Taxes,14718051
Washington,2013,112123,License Taxes,1408950
Washington,2013,112124,Income Taxes,0
Washington,2013,112125,Other Taxes,720303
West Virginia,2013,1121,Total Taxes,5389952
West Virginia,2013,11211,Property Taxes,6149
West Virginia,2013,11212,Sales and Gross Receipts Taxes,2579011
West Virginia,2013,112123,License Taxes,149267
West Virginia,2013,112124,Income Taxes,2038376
West Virginia,2013,112125,Other Taxes,617149
Wisconsin,2013,1121,Total Taxes,16513692
Wisconsin,2013,11211,Property Taxes,148600
Wisconsin,2013,11212,Sales and Gross Receipts Taxes,7088411
Wisconsin,2013,112123,License Taxes,1026823
Wisconsin,2013,112124,Income Taxes,8183442
Wisconsin,2013,112125,Other Taxes,66416
Wyoming,2013,1121,Total Taxes,2186054
Wyoming,2013,11211,Property Taxes,331899
Wyoming,2013,11212,Sales and Gross Receipts Taxes,826387
Wyoming,2013,112123,License Taxes,155241
Wyoming,2013,112124,Income Taxes,0
Wyoming,2013,112125,Other Taxes,872527
