GeoName,Year,TaxType,Amount
New York,2015,Income Taxes,48797671
New York,2015,Other Taxes,3711068
North Carolina,2015,Total Taxes,25061592
North Carolina,2015,Property Taxes,X
North Carolina,2015,Sales and Gross Receipts Taxes,10712738
North Carolina,2015,License Taxes,1753433
North Carolina,2015,Income Taxes,12527873
North Carolina,2015,Other Taxes,67548
North Dakota,2015,Total Taxes,5739843
North Dakota,2015,Property Taxes,3505
North Dakota,2015,Sales and Gross Receipts Taxes,1938816
North Dakota,2015,License Taxes,225540
North Dakota,2015,Income Taxes,722658
North Dakota,2015,Other Taxes,2849324
Ohio,2015,Total Taxes,28297156
Ohio,2015,Property Taxes,X
Ohio,2015,Sales and Gross Receipts Taxes,17214405
Ohio,2015,License Taxes,2171231
Ohio,2015,Income Taxes,8885559
Ohio,2015,Other Taxes,25961
Oklahoma,2015,Total Taxes,9407393
Oklahoma,2015,Property Taxes,X
Oklahoma,2015,Sales and Gross Receipts Taxes,4136027
Oklahoma,2015,License Taxes,1055808
Oklahoma,2015,Income Taxes,3640820
Oklahoma,2015,Other Taxes,574738
Oregon,2015,Total Taxes,10575165
Oregon,2015,Property Taxes,20336
Oregon,2015,Sales and Gross Receipts Taxes,1498647
Oregon,2015,License Taxes,987018
Oregon,2015,Income Taxes,7930842
Oregon,2015,Other Taxes,138322
Pennsylvania,2015,Total Taxes,36110295
Pennsylvania,2015,Property Taxes,41859
Pennsylvania,2015,Sales and Gross Receipts Taxes,18369805
Pennsylvania,2015,License Taxes,2222055
Pennsylvania,2015,Income Taxes,13999109
Pennsylvania,2015,Other Taxes,1477467
Rhode Island,2015,Total Taxes,3196673
Rhode Island,2015,Property Taxes,2480
Rhode Island,2015,Sales and Gross Receipts Taxes,1620523
Rhode Island,2015,License Taxes,120832
Rhode Island,2015,Income Taxes,1391704
Rhode Island,2015,Other Taxes,61134
South Carolina,2015,Total Taxes,9633031
South Carolina,2015,Property Taxes,26394
South Carolina,2015,Sales and Gross Receipts Taxes,4891618
South Carolina,2015,License Taxes,524285
South Carolina,2015,Income Taxes,4119129
South Carolina,2015,Other Taxes,71605
South Dakota,2015,Total Taxes,1674108
South Dakota,2015,Property Taxes,X
South Dakota,2015,Sales and Gross Receipts Taxes,1372682
South Dakota,2015,License Taxes,288796
South Dakota,2015,Income Taxes,4334
South Dakota,2015,Other Taxes,8296
Tennessee,2015,Total Taxes,12697655
Tennessee,2015,Property Taxes,X
Tennessee,2015,Sales and Gross Receipts Taxes,9195880
Tennessee,2015,License Taxes,1502770
Tennessee,2015,Income Taxes,1703169
Tennessee,2015,Other Taxes,295836
Texas,2015,Total Taxes,55086438
Texas,2015,Property Taxes,X
Texas,2015,Sales and Gross Receipts Taxes,47654182
Texas,2015,License Taxes,3426885
Texas,2015,Income Taxes,0
Texas,2015,Other Taxes,4005371
Utah,2015,Total Taxes,6703356
Utah,2015,Property Taxes,X
Utah,2015,Sales and Gross Receipts Taxes,2766724
Utah,2015,License Taxes,280021
Utah,2015,Income Taxes,3526399
Utah,2015,Other Taxes,130212
Vermont,2015,Total Taxes,3043152
Vermont,2015,Property Taxes,1035611
Vermont,2015,Sales and Gross Receipts Taxes,1026188
Vermont,2015,License Taxes,111527
Vermont,2015,Income Taxes,821953
Vermont,2015,Other Taxes,47873
Virginia,2015,Total Taxes,20536885
Virginia,2015,Property Taxes,32712
Virginia,2015,Sales and Gross Receipts Taxes,6495087
Virginia,2015,License Taxes,829279
Virginia,2015,Income Taxes,12721796
Virginia,2015,Other Taxes,458011
Washington,2015,Total Taxes,20644454
Washington,2015,Property Taxes,2018393
Washington,2015,Sales and Gross Receipts Taxes,16241234
Washington,2015,License Taxes,1396989
Washington,2015,Income Taxes,0
Washington,2015,Other Taxes,987838
West Virginia,2015,Total Taxes,5565984
West Virginia,2015,Property Taxes,6678
West Virginia,2015,Sales and Gross Receipts Taxes,2619323
West Virginia,2015,License Taxes,138918
West Virginia,2015,Income Taxes,2121215
West Virginia,2015,Other Taxes,679850
Wisconsin,2015,Total Taxes,17019026
Wisconsin,2015,Property Taxes,165155
Wisconsin,2015,Sales and Gross Receipts Taxes,7647097
Wisconsin,2015,License Taxes,1026575
Wisconsin,2015,Income Taxes,8101659
Wisconsin,2015,Other Taxes,78540
Wyoming,2015,Total Taxes,2356323
Wyoming,2015,Property Taxes,318569
Wyoming,2015,Sales and Gross Receipts Taxes,994850
Wyoming,2015,License Taxes,153768
Wyoming,2015,Income Taxes,0
Wyoming,2015,Other Taxes,889136
